ticker,name_x,search_query
BFAM.1,BRIGHT HORIZONS FAMILY SOLUTIONS,bright horizons family solutions
DTGF,DOLLAR THRIFTY AUTOMOTIVE GROUP IN,dollar thrifty automotive group in
ISSX,INTERNET SECURITY SYSTEMS INC.,internet security systems
KRON,KRONOS INC.,kronos
ATMI,ATMI INC,atmi
UAPH,UAP HOLDING CORP,uap holding
BOBE,BOB EVANS FARMS INC,bob evans farms
LIFC,LIFECELL,lifecell
CRA,APPLERA CORP-CELERA GENOMICS,applera celera genomics
GKIS,GOLD KIST INC.,gold kist
JHTXQ,JACKSON HEWITT TAX SERVICE,jackson hewitt tax service
CEC,CEC ENTERTAINMENT INC,cec entertainment
KDN,KAYDON CORP.,kaydon
PACR,PACER INTERNATIONAL INC,pacer international
DCEL,DOBSON COMMUNICATIONS,dobson communications
TR,TOOTSIE ROLL INDUSTRIES INC,tootsie roll industries
CENT,CENTRAL GARDEN AND PET,central garden and pet
CLNH,CENTERLINE HOLDING CO.,centerline holding
WBSN,WEBSENSE INC.,websense
RARE,RARE HOSPITALITY INTERNATIONAL,rare hospitality international
RDK,RUDDICK CORP.,ruddick
FTBK,FRONTIER FINANCIAL CORP,frontier financial
HTG,HERITAGE PROPERTY INVESTMENT TRUST,heritage property investment
ALAB,ALABAMA NATIONAL BANCORP,alabama national bancorp
DNEX,DIONEX CORP,dionex
DGIN.,DIGITAL INSIGHT CORPORATION,digital insight
AAN.2,AARONS INC.,aarons
CKR,CKE RESTAURANTS,cke restaurants
HYDL,HYDRIL,hydril
RBNC,REPUBLIC BANCORP INC.,republic bancorp
BRY,BERRY PETROLEUM CO. CL A,berry petroleum cl
ALO,ALPHARMA A,alpharma
RTI,RTI INTERNATIONAL METALS INC,rti international metals
BEZ,BALDOR ELECTRIC CO,baldor electric
PLMD,POLYMEDICA CORP,polymedica
FFFL,FIDELITY BANKSHARES INC.,fidelity bankshares
KOMG,KOMAG INC,komag
JH,JOHN H. HARLAND COMPANY,john harland
AEA,ADVANCE AMERICA CASH ADVANCE CENTE,advance america cash advance cente
AGII2,ARGONAUT GROUP,argonaut group
ELNK,EARTHLINK INC.,earthlink
